title,technologies
Middle/Senior Python developer,Python
Full Stack (Python + TypeScript) Developer focusing on the backend,"Python / Django, Python, TypeScript"
Middle Python/R developer,"Python, R, AI, ML, GenAI"
Middle Python Developer,"Python, Redis, MongoDB/PostgreSQL/MySQL, Django/Flask/Aiohttp/FastApi"
Python Backend developer,"Python / Django, REST API, Elasticsearch, DevOps, AWS Lambda, SQS, CI/CD"
Middle/Senior Python Engineer в продуктовій компанії,"Python, asyncio, Django/Flask/Aiohttp/FastApi"
Middle Python Embedded Engineer for a Startup,"Python, Linux, Docker, Google Cloud Platform, NATS, IoT, asyncio"
Python developer,Python
Senior Back-end developer,"Python, Flask, SQL"
Senior Python Developer (IRC237445),Python scripting
Senior Python Developer,"MySQL/PostgreSQL/MongoDB, Python, Fast API, AWS, Google Cloud"
Senior Python Developer,"Python / Django, Firebase"
Senior Python Developer,"Python, Windows, Kafka"
Python (Django) Developer,"Django Rest Framework, Python / Django"
